customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7014-IJTZ,Female,0,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.68,4142.71,No
7015-DBER,Female,0,No,No,20,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.25,1048.03,Yes
7016-RYZX,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),55.56,1260.71,No
7017-NWRC,Male,0,No,No,71,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.58,4134.70,Yes
7018-SYAA,Female,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,90.73,1362.05,Yes
7019-UIAY,Male,0,Yes,No,41,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.16,3256.14,Yes
7020-GTTY,Female,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,81.53,1956.39,Yes
7021-GGYS,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.75,639.37,Yes
7022-ATMV,Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.56,4822.92,No
7023-MUJN,Female,0,Yes,No,57,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),69.9,3954.62,No
7024-BAFO,Female,0,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.11,697.33,No
7025-QVJK,Female,1,Yes,No,46,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.33,4006.17,No
7026-UIOJ,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,80.92,316.87,Yes
7027-UQWK,Female,1,No,No,17,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62.27,1043.48,Yes
7028-ZLMT,Female,1,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.92,1128.63,No
7029-BPPP,Male,0,No,Yes,48,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.05,3116.79,No
7030-MSHX,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.1,85.78,No
7031-GLZD,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,1157.71,No
7032-CWBL,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.92,881.65,No
7033-UUHT,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.31,609.58,No
7034-GIVL,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),86.74,3020.19,Yes
7035-HZJO,Male,1,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,527.47,No
7036-PJFZ,Female,0,No,Yes,37,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.76,2687.88,Yes
7037-KUAA,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.26,294.12,Yes
7038-SIOS,Male,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,64.37,724.60,Yes
7039-HOGU,Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),87.69,6126.00,No
7040-CSHQ,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.78,4817.32,No
7041-VXQR,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.74,543.72,No
7042-XRYF,Female,1,No,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,47.82,2898.07,No
7043-VHAH,Male,0,No,No,58,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,79.94,4677.87,No
7044-XPAE,Male,1,No,Yes,51,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,88.49,4562.80,Yes
7045-SETR,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.04,5378.94,Yes
7046-FBYF,Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),73.86,5215.48,No
7047-UDNU,Female,0,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,95.61,5664.77,No
7048-JFIP,Female,0,Yes,No,19,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,77.1,1482.64,No
7049-VFEP,Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.23,1265.24,No
7050-PJHM,Female,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.49,322.95,No
7051-NKLL,Male,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,69.99,2634.73,No
7052-WHYZ,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),61.49,302.74,Yes
7053-FMZJ,Male,0,No,Yes,13,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,97.99,1294.26,Yes
7054-HCOE,Male,0,No,Yes,52,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,94.54,4781.92,Yes
7055-HHXT,Male,0,No,No,27,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.27,2780.05,No
7056-KCSB,Female,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.69,301.64,No
7057-BYYP,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,78.02,5544.57,No
7058-GTDK,Female,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.13,1727.46,No
7059-DRLZ,Female,0,No,No,17,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),63.51,1096.49,No
7060-ASSA,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.25,980.85,No
7061-UTKB,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),79.55,1702.76,Yes
7062-OVGN,Male,1,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.34,1255.51,No
7063-YAFP,Female,0,No,No,50,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),64.85,3334.06,Yes
7064-PJTS,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.31,2648.73,Yes
7065-OKPQ,Male,0,Yes,Yes,68,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.85,5055.28,Yes
7066-YEYA,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.18,5088.83,Yes
7067-WXDT,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.12,231.31,Yes
7068-YDIL,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.59,790.77,No
7069-GAYZ,Male,0,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,90.55,5528.38,Yes
7070-YWBM,Female,0,Yes,No,39,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,78.23,3036.38,No
7071-XADU,Male,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.41,162.79,No
7072-KECQ,Male,0,No,No,56,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),54.67,3065.65,No
7073-COQN,Male,1,No,No,35,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.1,3205.73,Yes
7074-JKVU,Female,1,Yes,No,18,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,75.44,1371.59,No
7075-GQSC,Male,1,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.57,1622.99,No
7076-KPLL,Male,1,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.03,5925.48,Yes
7077-PJAJ,Male,0,No,No,43,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.97,3758.45,Yes
7078-JLHH,Female,0,No,Yes,52,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),61.38,3124.87,No
7079-UKXH,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,81.63,1500.62,Yes
7080-SUFC,Female,0,Yes,No,54,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),66.53,3683.27,No
7081-UQFP,Male,0,No,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.19,1631.46,No
7082-OYTQ,Male,1,No,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,99.68,1833.76,No
7083-DYYQ,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1272.89,Yes
7084-IYKB,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,90.55,622.45,No
7085-MTDL,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.34,3450.27,No
7086-AIKU,Male,0,Yes,No,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),98.13,596.97,Yes
7087-BBDQ,Male,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.22,817.39,No
7088-VZDD,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,83.75,3883.54,No
7089-EQSR,Female,0,Yes,No,63,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.68,4501.14,Yes
7090-OKUS,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,103.91,1144.18,Yes
7091-TLIJ,Female,1,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.05,5963.27,No
7092-LVNH,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.34,,No
7093-OWGN,Male,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,68.65,335.55,Yes
7094-NGSK,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,94.88,6442.94,Yes
7095-HBKF,Male,0,Yes,Yes,66,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),66.05,4326.21,No
7096-SUMH,Male,0,No,No,3,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),69.16,201.45,Yes
7097-UNIR,Female,1,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.5,125.27,No
7098-FTIA,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.95,991.05,No
7099-SYOJ,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.89,581.35,No
7100-EKQX,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),86.89,1612.12,Yes
7101-MYXI,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.46,2310.83,No
7102-DILE,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.07,2621.19,Yes
7103-IUAC,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,86.5,6293.31,Yes
7104-EXTO,Female,1,Yes,No,18,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.83,1265.36,No
7105-TQPV,Female,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,60.53,414.12,Yes
7106-AKHB,Female,0,No,No,60,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,62.56,3745.22,No
7107-YUJC,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.74,5077.54,Yes
7108-SZHJ,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.85,1529.19,No
7109-FMGS,Female,1,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.57,6340.59,No
7110-BNWK,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,73.43,226.39,No
7111-RGZY,Female,0,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),85.96,4899.34,No
7112-RIUU,Female,0,No,No,20,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.06,1583.50,No
7113-ORTB,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.74,656.58,No
7114-FBNL,Female,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),100.8,3333.12,No
7115-WQXU,Female,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),97.63,6976.97,Yes
7116-CPPF,Male,0,No,Yes,38,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),75.64,2922.92,No
7117-HLYC,Male,0,No,No,17,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,66.33,1114.25,Yes
7118-AFBL,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,100.79,718.78,Yes
7119-JKJX,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,100.36,4399.10,No
7120-HAZC,Male,0,No,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.32,4844.94,Yes
7121-MYOI,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,92.47,4698.51,No
7122-XHWZ,Female,0,No,No,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.64,4602.12,No
7123-ZGZF,Male,0,Yes,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.3,87.45,No
7124-UEHQ,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,75.4,2327.42,Yes
7125-LPUI,Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),87.84,3897.73,No
7126-DMVS,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,92.0,5692.73,No
7127-LMSU,Female,1,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.43,2171.46,Yes
7128-XIZA,Female,0,Yes,Yes,49,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,69.08,3338.55,No
7129-VDTQ,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.65,1277.30,No
7130-YLCY,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.01,870.00,Yes
7131-UFDD,Female,0,Yes,No,56,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.17,4119.43,No
7132-MPWU,Male,0,No,Yes,59,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,49.92,3023.29,Yes
7133-YNOJ,Female,0,No,No,33,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,58.18,1937.62,No
7134-JKTM,Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.01,738.85,Yes
7135-NYTF,Male,0,No,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.72,4062.50,Yes
7136-WCMO,Female,1,Yes,No,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.21,3506.71,No
7137-HPSV,Male,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.43,692.01,Yes
7138-IUQI,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.9,381.07,No
7139-ZSVP,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.0,4545.96,Yes
7140-QZXI,Female,1,No,No,0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),60.55,,No
7141-YZVJ,Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.92,3691.99,Yes
7142-ALZC,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.85,256.31,No
7143-TLVA,Male,0,No,No,12,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,73.06,854.40,Yes
7144-ULGD,Female,0,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.44,1326.90,No
7145-UJCK,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.5,18.95,No
7146-JWVX,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,84.71,2887.26,Yes
7147-JAYK,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,92.52,2827.82,No
7148-MMZW,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.9,573.68,No
7149-VQOM,Male,0,No,No,68,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,88.35,6097.86,No
7150-TKWP,Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,331.12,No
7151-DMDL,Male,0,No,Yes,59,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),63.44,3665.75,No
7152-HLRV,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.11,1389.84,Yes
7153-ZDEJ,Male,1,Yes,No,45,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,91.53,4109.51,Yes
7154-TXIY,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.19,5940.73,No
7155-DTJE,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.81,6482.38,No
7156-BAAY,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.31,3586.35,Yes
7157-DPQV,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),86.48,1318.45,Yes
7158-ASBY,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),77.17,2210.17,No
7159-RZXH,Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,94.07,2900.38,No
7160-FXHG,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,82.98,5166.81,No
7161-ESEO,Female,0,No,No,28,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,98.71,2815.58,No
7162-PHEA,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),112.58,6620.20,No
7163-VHUQ,Male,0,No,No,69,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,86.18,5850.41,No
7164-KNBT,Male,0,No,No,8,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,74.66,605.83,Yes
7165-WNVK,Female,1,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.32,1605.47,No
7166-SWWV,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.5,1130.48,No
7167-MLAT,Male,0,No,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.74,3727.62,Yes
